Année du Baccalauréat;Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
2021;Littérature et langues et cultures de l'Antiquité,Numérique et Sciences Informatiques;Licence Sciences économiques;0;0;0
2021;Littérature et langues et cultures de l'Antiquité,Physique-Chimie Spécialité;Licence Sciences de l éducation;0;0;0
2021;Littérature et langues et cultures de l'Antiquité,Physique-Chimie Spécialité;Licence Sciences de la vie, biologie, santé;0;0;0
2021;Littérature et langues et cultures de l'Antiquité,Physique-Chimie Spécialité;D.E sanitaire;0;0;0
2021;Littérature et langues et cultures de l'Antiquité,Sciences Economiques et Sociales Spécialité;Licence Pluri Sciences de la vie, de la santé, de la terre et de l univers;0;0;0
2021;Littérature et langues et cultures de l'Antiquité,Sciences Economiques et Sociales Spécialité;Licence Sciences de gestion;1;0;0
2021;Littérature et langues et cultures de l'Antiquité,Sciences de la vie et de la Terre Spécialité;Licence Sciences de l information et de la communication;0;0;0
2021;Littérature et langues et cultures de l'Antiquité,Sciences de la vie et de la Terre Spécialité;DCG;0;0;0
2021;Mathématiques Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Sciences humaines et sociales;29;16;1
2021;Mathématiques Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;CPGE L;1171;909;378
2021;Mathématiques Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Ensemble des bacheliers;6405;6142;5571
2021;Mathématiques Spécialité,Humanités, Littérature et Philosophie;Licence Géographie;28;18;8
2021;Mathématiques Spécialité,Humanités, Littérature et Philosophie;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0;0
2021;Mathématiques Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Pluri Sciences;28;7;1
2021;Mathématiques Spécialité,Numérique et Sciences Informatiques;Licence Arts;357;179;77
